"",""
"Action","Ação"
"Add AnyMarket Log","Adicionar AnyMarket Log"
"Add Anymarket Products","Add Anymarket Products"
"Add anymarket log","Add anymarket log"
"Add anymarket products","Add anymarket products"
"Add","Add"
"Integration status","Status Integração"
"Integration message","Mensagem de Integração"
"An error occurred while updating the anymarket log.","An error occurred while updating the anymarket log."
"An error occurred while updating the anymarket products.","An error occurred while updating the anymarket products."
"AnyMarket Log API","AnyMarket Log API"
"AnyMarket Log was saved","AnyMarket Log was saved"
"AnyMarket Log was successfully deleted.","AnyMarket Log was successfully deleted."
"AnyMarket Log was successfully saved","AnyMarket Log was successfully saved"
"AnyMarket Log","AnyMarket Log"
"Anymarket Products API","Anymarket Products API"
"Anymarket Products was saved","Anymarket Products was saved"
"Anymarket Products was successfully deleted.","Anymarket Products was successfully deleted."
"Anymarket Products was successfully saved","Anymarket Products was successfully saved"
"Anymarket Products","Produtos Anymarket"
"Change Status Integration","Mudar Status Integração"
"Save Anymarket Categories","Salvar Categoria Anymarket"
"Delete Anymarket Categories","Deletar Categoria Anymarket"
"Are you sure?","Você tem certeza?"
"Synchronize Categories","Sincronizar Categorias"
"Add Anymarket Categories","Adicionar Categoria Anymarket"
"CSV","CSV"
"Kilogram","Quilograma"
"Gram","Grama"
"Already existing SKU in anymarket","SKU ja existente no Anymarket"
"Product with inconsistency:","Produto com inconsistência:"
"Document Type (Customer)","Tipo de Documento (Cliente)"
"Customer group that will be registered when imported from Anymarket.","Grupo de cliente que irá ser cadastrado quando importado do Anymarket."
"Select will be treated as their weight in shipment to the Anymarket.","Selecione como sera tratado seu peso no envio para o Anymarket."
"Synchronize","Sincronizar"
"Error synchronizing, code anymarket invalid.","Erro ao sincronizar, codigo anymarket inválido."
"Simple product Created","Produto Simples Criado"
"Product Created","Produto Criado"
"Error on get feed products ","Erro ao obter feed de produtos "
"Error on import products from anymarket ","Erro ao importar produtos do Anymarket "
"Configurable product Created","Produto configuravel criado"
"Configurable product Updated","Produto configuravel atualizado"
"Product Updated","Produto Atualizado"
"Update Stock and Price","Estoque e Preço Atualizados"
"Mass unit","Unidade de Massa"
"Please select the products to synchronize.","Por favor selecione os produtos para sincronizar."
"Are you sure you want to sync?","Você tem certeza que deseja sincronizar?"
"Total %d products were added to the queue.","Total %d de produtos foram adicionado na fila."
"Total %d orders were added to the queue.","Total %d pedidos foram adicionado na fila."
"Integration Products "Magento for Anymarket" marked as NOT","Integração Produtos "Magento para AnyMarket" marcado como NÃO" 
"Integration Products "AnyMarket for Magento" marked as NOT","Integração Produtos "AnyMarket para Magento" marcado como NÃO"
"Save Anymarket Queue","Salvar Item"
"Add Anymarket Queue","Adicionar item a fila"
"Successfully synchronized categories.","Categorias sincronizadas com sucesso."
"Error Message","Mensagem de Erro"
"Category description","Descrição da Categoria"
"Code of predecessor category","Código da categoria antecessora"
"Complete code Category","Código completo da Categoria"
"Anymarket Categories","Categorias Anymarket"
"Are you sure you want to import?","Você tem certeza que deseja importar?"
"Import to Magento","Importar para Magento"
"Exportar to Anymarket","Exportar para Anymarket"
"Are you sure you want to export?","Você tem certeza que deseja exportar?"
"Change status","Trocar status"
"Could not find anymarket log to delete.","Could not find anymarket log to delete."
"Could not find anymarket products to delete.","Could not find anymarket products to delete."
"Created at","Criado em"
"This anymarket attributes no longer exists.","Esse Atributo anymarket não existe mais."
"Log Description","Descrição Log"
"Data cannot be null","Data cannot be null"
"Delete AnyMarket Log","Delete AnyMarket Log"
"Delete Anymarket Products","Deletar Produto Anymarket"
"Delete","Delete"
"Anymarket Orders","Pedidos Anymarket"
"Descrição Log","Descrição Log"
"Error Description","Descrição do Erro"
"Disabled","Desabilitado"
"Code Anymarket","Código no AnyMarket"
"Code Order Magento","Código Venda Magento"
"Add Anymarket Orders","Adicionar Pedido Anymarket"
"Save Anymarket Orders","Salvar Pedido Anymarket"
"Delete Anymarket Orders","Deletar Pedido Anymarket"
"Edit AnyMarket Log '%s'","Edit AnyMarket Log '%s'"
"Edit Anymarket Products '%s'","Edit Anymarket Products '%s'"
"Edit","Edit"
"Enabled","Habilitado"
"Anymarket Attributes","Atributos Anymarket"
"Save Anymarket Attributes","Salvar Atributos Anymarket"
"Delete Anymarket Attributes","Delete Atributos Anymarket"
"Error saving anymarket log","Error saving anymarket log"
"Error saving anymarket products","Error saving anymarket products"
"Error while removing anymarket log. Details in error message.","Error while removing anymarket log. Details in error message."
"Error while removing anymarket products. Details in error message.","Error while removing anymarket products. Details in error message."
"Error while saving anymarket log. Details in error message.","Error while saving anymarket log. Details in error message."
"Error while saving anymarket products. Details in error message.","Error while saving anymarket products. Details in error message."
"Excel","Excel"
"Home","Home"
"Id","Código"
"Anymarket Queue", "Fila de integração Anymarket"
"Customer Group (Customer)","Grupo de Cliente (Cliente)"
"Item code that is waiting in the queue","Código do Item que esta aguardando na fila"
"Type of Operation","Tipo de Operação"
"Source table", "Tabela de Origem"
"Order","Pedido"
"Product","Produto"
"Type of Operation (Import/Emport)","Tipo de Operação (Importar/Emportar)"

"Add anymarket queue","Adicionar Fila Anymarket"
"An error occurred while updating the anymarket queue.","Ocorreu um erro ao atualizar a fila anymarket."
"Could not find anymarket queue to delete.","Não foi possível encontrar o item para apagar."
"Error saving anymarket queue","Erro ao salvar o item na fila"
"Error while removing anymarket queue. Details in error message.","Erro ao remover item da fila. Detalhes na mensagem de erro."
"Error while saving anymarket queue. Details in error message.","Erro ao salvar item na fila. Detalhes na mensagem de erro."
"Please select anymarket queues to delete.","Por favor selecione um item para deletar."
"Please select anymarket queues.","Por favor selecione um item."
"Remove anymarket queue","Remover item da fila"
"Requested anymarket queue does not exist.","Item Solicitado não existe."
"Retrieve anymarketqueue info","Recuperar Informação da fila"
"Retrieve list of anymarket queues","Recuperar lista dos itens na fila"
"The anymarket queues has been deleted.","Os itens da fila foram apagados."
"There was a problem saving the anymarket queue.","Houve um problema em salvar um item na fila."
"There was an error deleting anymarket queue.","Houve um problema em deletar um item na fila."
"There was an error updating anymarket queues.","Houve um problema em atualizar um item na fila."
"This anymarket queue no longer exists.","Este item não existe não existe mais."
"Total of %d anymarket queues were successfully deleted.","Total de %d itens foram apagados com sucesso."
"Total of %d anymarket queues were successfully updated.","Total de %d itens foram atualizados com sucesso."
"Unable to find anymarket queue to save.","Não foi possivel localizar o item para salvar."
"Update anymarket queue","Atualizar item da fila"
"Status Order","Status Pedido"
"Access","Acesso"
"Attribute Description","Descrição do Atributo"
"Attribute Code","Código do Atributo"
"Add Anymarket Attributes","Adicionar Atributo Anymarket"
"Info","Info"
"List","List"
"No","Não"
"Host","Servidor"
"Title","Titulo"
"New order status","Status do Pedido Novo"
"Token necessary access to AnyMarket","Token necessario acesso ao AnyMarket"
"Contact the DB1 for this information","Entre em contato com a DB1 para obter essa informação"
"URL for access to AnyMarket","URL para acesso ao AnyMarket"
"Configure all the necessary information to allow access to AnyMarket.","Configure todas as informações necessarias para liberar o acesso ao AnyMarket."
"Status Order (Magento to Anymarket)","Status Pedido (Magento para Anymarket)"
"Status Order (Anymarket to Magento)","Status Pedido (Anymarket para Magento)"
"Status of orders that must be imported.","Status dos pedidos que devem ser importados."
"If checked Magento for Anymarket, orders from the magento will be registered in anymarket. If checked Anymarket for Magento, anymarket's orders will be registered in magento.","Caso marcado Magento para Anymarket, os pedidos do magento serão cadastrados no anymarket. Caso marcado Anymarket para Magento, os pedidos do anymarket serão cadastrados no magento."
"If checked Magento for Anymarket, products from the magento will be registered in anymarket. If checked Anymarket for Magento, anymarket's products will be registered in magento.","Caso marcado Magento para Anymarket, os produtos do magento serão cadastrados no anymarket. Caso marcado Anymarket para Magento, os produtos do anymarket serão cadastrados no magento."
"Type Synchronization","Tipo de Sincronização"
"AnyMarket Payment Method","Metodo de Pagamento AnyMarket"
"Integration (Products)","Integração (Produtos)"
"Integration (Orders)","Integração (Pedidos)"
"Magento to AnyMarket","Magento para AnyMarket"
"If marked yes, magento products will be registered in anymarket.","Caso marcado como sim, os produtos do magento será cadastrado no anymarket."
"AnyMarket to Magento","AnyMarket para Magento"
"If marked yes, anymarket products will be registered in magento.","Caso marcado como sim, os produtos do anymarket será cadastrado no magento."
"Attributes","Atributos"
"NBM Required","NBM Requerido"
"Important informations","Informações Importantes"
"Ignore EAN Invalid","Ignorar EAN Inválido"
"If marked yes, the validation will be done at the time of import.","Caso marcado como sim, a validação será feita no momento da importação."
"Sync Products","Sincronizar Produtos"
"Products list","Listar Produtos"
"Sync Orders","Sincronizar Pedidos"
"Orders list","Listar Pedidos"
"There was an error updating the products.","Ocorreu um erro ao atualizar os produtos."
"Total %d products successfully listed.","Total de %d produtos listados com sucesso."
"Import Anymarket products marked as not.","Importar produtos do Anymarket marcado como não."
"Export products to Anymarket marked as not.","Exportar produtos para Anymarket marcado como não."
"There was an error updating anymarket categories.","Houve um erro ao atualizar categorias anymarket."
"Please select anymarket categories.","Por favor, selecione uma categoria anymarket."
"Please select anymarket categories to delete.","Por favor, selecione anymarket categorias para apagar."
"Could not find anymarket categories to delete.","Não foi possível encontrar anymarket categorias a serem excluídos."
"There was an error deleting anymarket categories.","Houve um erro ao excluir anymarket categorias."
"Anymarket Categories was successfully deleted.","Categorias Anymarket foi excluído com sucesso."
"Anymarket Categories was successfully saved","Categorias Anymarket foi salvo com êxito"
"There was a problem saving the anymarket categories.","Houve um problema em salvar as categorias anymarket."
"Unable to find anymarket categories to save.","Incapaz de encontrar categorias anymarket para salvar."
"Successfully synchronized categories.","Categorias sincronizadas com sucesso."
"Anymarket Attributes was successfully deleted.","Atributo Anymarket foi excluído com sucesso."
"Unable to find anymarket attributes to save.","Incapaz de encontrar anymarket atributos para salvar."
"There was a problem saving the anymarket attributes.","Houve um problema em salvar os atributos anymarket."
"Anymarket Attributes was successfully saved","Atributos Anymarket foi salvo com êxito"
"Will be integrated","Será Integrado"
"Product Name","Nome do Produto"
"Product SKU","SKU do produto"
"None","None"
"Price","Preço"
"Length_am","Profundidade"
"Height","Altura"
"Width","Largura"
"Brand","Marca"
"Add Order Status Magento","Adicionar Status Pedido Magento"
"Add Order Status Anymarket","Adicionar Status Pedido Anymarket"
"Attribute corresponding to the Width","Atributo correspondente à largura"
"Select the attribute that corresponds to the model AnyMarket","Selecione o Atributo que corresponde a modelo no AnyMarket"
"Select the attribute that corresponds to the brand AnyMarket","Selecione o Atributo que corresponde a marca no AnyMarket"
"Select the attribute that corresponds to the time bars on AnyMarket","Selecione o Atributo que corresponde ao tempo de barras no AnyMarket"
"Select the attribute that corresponds to the guarantee in AnyMarket","Selecione o Atributo que corresponde ao garantia no AnyMarket"
"Select the attribute that corresponds to the barcode on AnyMarket","Selecione o Atributo que corresponde ao código de barras no AnyMarket"
"Select the attribute that corresponds to the rise in AnyMarket","Selecione o Atributo que corresponde ao origem no AnyMarket"
"Select the attribute that corresponds to nbm in AnyMarket","Selecione o Atributo que corresponde ao nbm no AnyMarket"
"Select the attribute that corresponds to the video url in AnyMarket","Selecione o Atributo que corresponde ao video url no AnyMarket"
"Attribute corresponding to the Brand","Atributo correspondente a Marca"
"Model","Modelo"
"Attribute corresponding to the Model.","Atributo correspondente ao Modelo"
"Attribute corresponding to the Warranty time.","Atributo correspondente ao Tempo de Garantia."
"Warranty time","Tempo de Garantia"
"Bar code","Código de Barras"
"Warranty","Garantia"
"Attribute corresponding to the Brand.","Atributo correspondente à Marca."
"Attribute corresponding to the Width.","Atributo correspondente a largura."
"Attribute corresponding to the Warranty.","Atributo correspondente a Garantia"
"Attribute corresponding to the Bar code.","Atributo correspondente ao Código de Barras"
"Select the attribute that corresponds to the width in AnyMarket","Selecione o Atributo que corresponde ao largura no AnyMarket"
"Attribute corresponding to the Video Url.","Atributo Correspondente ao Video URL"
"Attribute corresponding to the NBM.", "Atributo correspondente ao NBM"
"Attribute corresponding to the Origem.", "Atributo correspondente a Origem"
"Attribute corresponding to the height.","Atributo que corresponde ao Altura."
"Attribute corresponding to the length.","Atributo que corresponde a Profundidade."
"Select the attribute that corresponds to the height AnyMarket","Selecione o Atributo que corresponde ao altura no AnyMarket"
"Select the attribute that corresponds to the price at AnyMarket","Selecione o Atributo que corresponde ao preço no AnyMarket"
"Attribute that corresponds to the price.","Atributo que corresponde ao Preço."
"Attribute responsible for import orders, usually CPF or RG.","Atributo responsavel por importar Pedidos, geralmente CPF ou RG."
"Configure all the necessary information to manage the attributes.","Configure todas as informações necessarias para gerenciar os atributos."
"Please select anymarket log to delete.","Please select anymarket log to delete."
"Please select anymarket log.","Please select anymarket log."
"Please select anymarket products to delete.","Please select anymarket products to delete."
"Please select anymarket products.","Please select anymarket products."
"Product does not exist.","Product does not exist."
"Provided data is invalid.","Provided data is invalid."
"Remove anymarket log","Remove anymarket log"
"Remove anymarket products","Remove anymarket products"
"Remove","Remove"
"Requested anymarket log does not exist.","Requested anymarket log does not exist."
"Requested anymarket products does not exist.","Requested anymarket products does not exist."
"Reset","Reset"
"Retrieve anymarketlog01 info","Retrieve anymarketlog01 info"
"Retrieve anymarketproducts01 info","Retrieve anymarketproducts01 info"
"Retrieve list of anymarket log","Retrieve list of anymarket log"
"Retrieve list of anymarket products","Retrieve list of anymarket products"
"Save And Continue Edit","Salvar e Continuar Editando"
"Save AnyMarket Log","Salvar AnyMarket Log"
"Save Anymarket Products","Savar Produto Anymarket"
"Status","Status"
"Store views","Loja"
"The anymarket log has been deleted.","The anymarket log has been deleted."
"The anymarket products has been deleted.","The anymarket products has been deleted."
"There was a problem saving the anymarket log.","There was a problem saving the anymarket log."
"There was a problem saving the anymarket products.","There was a problem saving the anymarket products."
"There was an error deleting anymarket log.","There was an error deleting anymarket log."
"There was an error deleting anymarket products.","There was an error deleting anymarket products."
"There was an error updating anymarket log.","There was an error updating anymarket log."
"There was an error updating anymarket products.","There was an error updating anymarket products."
"This anymarket log no longer exists.","This anymarket log no longer exists."
"This anymarket products no longer exists.","This anymarket products no longer exists."
"Total of %d anymarket log were successfully deleted.","Total of %d anymarket log were successfully deleted."
"Total of %d anymarket log were successfully updated.","Total of %d anymarket log were successfully updated."
"Total of %d anymarket products were successfully deleted.","Total of %d anymarket products were successfully deleted."
"Total of %d anymarket products were successfully updated.","Total of %d anymarket products were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find anymarket log to save.","Unable to find anymarket log to save."
"Unable to find anymarket products to save.","Unable to find anymarket products to save."
"Update anymarket log","Update anymarket log"
"Update anymarket products","Update anymarket products"
"Update","Update"
"Updated at","Atualizado em"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Sim"
